NAME,PRICE,CUISINES_CATEGORY,CITY,REGION,RATING,VOTES,PEAK_TIME,MEN_EMPLOYEE,WOMEN_EMPLOYEE,DELIVERED_FOOD_APPROX,DELIVERY_TIME
FOOD CORNER FAMILY RESTAURENT,1,['South Indian' 'Chinese' 'Beverages'],Chennai,George Town,--,,17:02:00,1,5,20968,60
Madro Cafe,300,['Italian' 'Mexican' 'Continental'],Chennai,Annanagar East,4.1,20,21:24:14,10,1,27113,70
All Day Breakfast Company,300,['Beverages' 'Indian'],Chennai,Raja Annamalai Puram,4.5,500,18:37:19,10,4,5257,69
Super Bombay Kulfi Natural Ice Cream milkshake and chats,200,['Ice Cream' 'Beverages'],Chennai,Triplicane,--,,14:08:25,7,2,15832,47
Broken Bridge Cafe,1100,['Indian' 'Continental'],Chennai,Raja Annamalai Puram,4.5,50,12:55:24,2,3,23546,79
Red Chilly Kitchen,400,['Chinese' 'Fast Food' 'South Indian'],Chennai,Ponniammanmedu,4,50,20:26:45,9,3,13301,71
Arezu,400,['Indian' 'Fast Food' 'Arabian'],Chennai,Annanagar,3.7,20,18:21:36,4,0,28432,72
DEVAKOTTAI CHETTINAD,300,['Biryani' 'North Indian' 'Chinese' 'Snacks' 'Fast Food'],Chennai,Mylapore,4.1,50,15:16:02,4,2,27207,56
Bismilla Fine Dining,250,['Biryani' 'Chinese' 'Indian' 'Combo' 'North Indian'],Chennai,Royapettah,3.2,100,16:43:58,5,5,29823,50
The Cheese Cafe,250,['North Indian' 'Italian' 'Mexican'],Chennai,Anna Nagar,4.6,20,13:20:17,2,1,19390,64
Karaikudi Chettinadu Restaurant,300,['Chettinad' 'Chinese' 'South Indian' 'Biryani' 'Tandoor'],Chennai,Cit Nagar,3.6,20,14:26:38,10,1,8737,78
Cafe CakeBee,700,['Cafe' 'Italian' 'Bakery' 'Desserts'],Chennai,Teynampet,4.3,50,17:07:29,5,2,8195,63
New Archana Fast Food,300,['Fast Food' 'Chinese' 'South Indian' 'Beverages'],Chennai,Royapettah,--,,15:29:08,9,3,17390,56
Quarter Biryani,300,['Biryani' 'Combo' 'Chinese'],Chennai,Egmore,3.8,20,18:51:39,5,0,6164,47
Nei Idly Sambar,200,['South Indian'],Chennai,Mylapore,3.8,100,19:18:24,2,1,26884,65
Fipola Grill House,350,['Grill' 'Seafood' 'Arabian'],Chennai,T. Nagar,3.3,100,16:26:28,10,3,29169,65
HYDERABAD IRANI CHAI,400,['Chinese'],Chennai,Annanagar,--,,14:12:37,1,4,3638,70
HOTEL SANDEEP,250,['Indian'],Chennai,Old Washermanpet,4.3,20,19:58:13,9,1,9578,45
Brownie Heaven,200,['Desserts'],Chennai,Egmore,4.6,20,13:42:50,10,3,27936,37
ROTI AUR PARATHA,250,['North Indian'],Chennai,Choolaimedu,4.4,50,09:18:04,9,5,29330,71
Courtyard by Marriott,700,['Biryani' 'Combo' 'Pizzas' 'Home Food' 'Indian' 'Continental' 'Chinese' 'Asian'],Chennai,T. Nagar,4.3,100,09:55:39,4,2,5589,67
Little Soi,1000,['Pan-Asian' 'Thai' 'Chinese'],Chennai,Annanagar,4.3,20,22:37:52,9,5,15476,73
Vivikta Chapati Shop,150,['South Indian'],Chennai,Vadapalani,--,,15:49:04,10,3,9802,76
Topped off,450,['Chinese' 'Fast Food' 'Continental' 'Tandoor' 'Italian' 'Indian'],Chennai,Purasawalkam,--,,13:45:57,1,2,22089,40
Chap Chay - The Raintree,1200,['Chinese' 'Thai' 'Malaysian'],Chennai,Alwarpet,4.4,50,17:32:45,2,1,17199,72
HOTEL SRI GURU,280,['Indian'],Chennai,Nungambakkam,4.2,20,11:34:09,9,3,14237,53
ARABIAN DELIGHTS,400,['Arabian' 'Indian' 'Chinese'],Chennai,Anna Nagar,4.3,20,18:50:05,10,3,24164,74
Movenpick Ice Cream Boutique,500,['Ice Cream' 'Beverages' 'Desserts'],Chennai,Nungambakkam,4.5,20,20:30:06,7,1,12032,46
GIRI BHAVAN,200,['South Indian'],Chennai,Mylapore,--,,19:54:08,2,1,14857,64
MURUDIS LUNCH HOME,150,['South Indian' 'Chinese'],Chennai,Chintadripet,4.4,100,17:32:06,5,1,29011,31
Kobe Sizzlers,500,['Chinese' 'Continental' 'Fast Food'],Chennai,Anna Nagar West Extension,4.5,20,15:28:02,1,5,30000,89
Am Biryani,400,['Biryani'],Chennai,Perambur,3.6,500,14:30:42,1,0,19374,58
Main Street - The Residency Towers,1200,['Indian' 'Italian' 'Biryani'],Chennai,T. Nagar,4.2,20,20:27:15,9,0,24005,78
Dp Special,340,['Snacks'],Chennai,Kilpauk,--,,21:42:43,10,2,23632,45
THE PHOENIX KITCHENZ,399,['Pizzas'],Chennai,Perambur,--,,09:33:02,8,2,17917,71
Moo It,200,['Desserts' 'Ice Cream' 'Juices'],Chennai,Nungambakkam,--,,14:44:34,4,5,6304,46
The Delhi Dhaba-Veg,350,['Chinese' 'Indian' 'North Indian' 'Tandoor'],Chennai,Shenoy Nagar,4.3,500,18:41:53,1,1,25936,58
The Smoothie Cult,160,['Beverages' 'Juices' 'South Indian'],Chennai,T. Nagar,--,,09:05:51,3,3,6721,74
WINGS FACTORY,398,['Chinese' 'Fast Food' 'Tandoor' 'Thai' 'African' 'Barbecue'],Chennai,T Nagar,3.9,20,19:22:36,4,0,18696,71
food point,200,['Juices' 'Snacks'],Chennai,Mylapore,4.2,20,09:02:37,10,3,18321,56
Joes Gourmet,300,['Continental'],Chennai,Arumbakkam,4.3,50,10:48:39,2,0,13630,56
MUNCHBERRY,100,['Bakery' 'Indian' 'Snacks'],Chennai,Egmore,--,,15:13:46,8,3,7942,39
Lassi Shop,99,['Desserts' 'Ice Cream'],Chennai,West Mambalam,4.2,500,19:39:26,10,3,27203,67
Platez,100,['Indian' 'Continental'],Chennai,Egmore,--,,16:53:15,3,0,18926,48
The Cake Centre,300,['Bakery'],Chennai,Perambur,4.3,50,09:38:23,5,3,25249,67
TROPICAL FAST FOOD,280,['Chinese' 'Arabian' 'Indian' 'Tandoor'],Chennai,Purasawalkam,--,,19:46:12,8,1,11112,40
TEA TIME-KODUNGAIYUR,20,['Beverages'],Chennai,Perambur,--,,15:17:10,1,1,15023,67
BRINDHAVAN VEG RESTAURANT,300,['Indian'],Chennai,Teynampet,4.1,20,15:09:02,1,4,20802,64
FOODinBOX,350,['North Indian' 'Chinese' 'Biryani' 'Tandoor'],Chennai,Annanagar,--,,09:48:24,2,4,28925,76
Mahtab,900,['North Indian' 'Desserts'],Chennai,Annanagar,--,,22:54:04,4,3,28120,72
Kolambu Box,300,['Indian' 'Street Food' 'European'],Chennai,Annanagar,--,,14:59:13,5,2,15002,62
Anburaj Resturant Briyani & Fast Food,250,['Biryani' 'North Indian'],Chennai,T Nagar,4.1,100,19:01:35,8,0,25576,59
Nithya Amirtham Sweets,200,['Sweets' 'Snacks' 'Desserts' 'Beverages'],Chennai,Kilpauk,4.6,500,14:07:34,3,1,13994,47
Ciclo Life,500,['Salads' 'Continental' 'Oriental' 'Beverages'],Chennai,Raja Annamalai Puram,4.5,500,19:00:53,4,4,15178,68
Dindigul Kulambu Kadai,450,['Chettinad' 'South Indian'],Chennai,Kilpauk,4.1,100,13:44:34,10,3,17922,51
Fish N You,450,['Seafood'],Chennai,Kilpauk,3.9,100,15:07:26,6,4,29706,54
Sigree,700,['North Indian' 'Mughlai' 'Kebabs' 'Mediterranean' 'Greek' 'Turkish' 'Lebanese'],Chennai,Anna Nagar,4.4,100,16:32:59,6,5,21730,67
Chennai Mugil Soup,200,['Fast Food'],Chennai,Perambur,--,,14:27:14,10,5,12349,59
JUICE BOX,250,['Beverages' 'Snacks' 'Fast Food'],Chennai,Vadapalani,--,,19:04:13,9,4,7983,78
Crust & Cheese Pizza,400,['Pizzas' 'Italian-American'],Chennai,Alwarpet,4.4,50,12:24:55,5,1,5722,72
BIGGIES BURGER,300,['Fast Food' 'Beverages' 'American'],Chennai,Anna Nagar,4.1,100,20:22:01,7,1,25275,70
Pizza Shop,400,['Pizzas' 'Italian' 'Continental' 'American' 'Chinese' 'Snacks' 'Desserts' 'Beverages'],Chennai,Teynampet,3.7,20,22:31:40,6,2,26734,70
NIYAZ BIRIYANI,300,['Biryani' 'Chinese' 'South Indian'],Chennai,Perambur,--,,21:07:39,3,3,12541,67
Kings Kitchen,249,['Chinese' 'Kebabs' 'North Indian'],Chennai,Anna Nagar,--,,18:48:16,8,2,22460,67
Salt Indian Restaurant & Grill,1500,['North Indian' 'Biryani' 'Combo'],Chennai,Vadapalani,4.1,100,15:04:06,7,1,27390,84
Rahmas Biryani,300,['Biryani'],Chennai,Kodambakkam,3.8,20,09:53:30,9,1,27066,80
Sulthan Briyani,300,['Biryani' 'North Indian' 'Chinese'],Chennai,Purasawalkam,--,,10:14:30,2,4,21311,55
Nungambakkam Chaat Corner,150,['Chaat' 'Street Food'],Chennai,Chennai,4.1,100,09:04:32,4,0,11458,47
Taj Mugalai since 1981,250,['Chinese' 'Arabian'],Chennai,Egmore,--,,14:18:45,2,2,29335,36
Modern Malayali Kitchen,300,['South Indian' 'Chinese' 'Beverages'],Chennai,Nungambakkam,4.3,50,18:45:30,7,3,18061,54
The Big Eat,400,['Continental' 'Asian' 'Italian'],Chennai,Teynampet,4.2,50,12:19:39,2,4,3899,64
Super Shawarma,250,['Indian'],Chennai,Old Washermanpet,3.4,20,21:54:16,9,1,24152,56
The Indie Frost,250,['Beverages' 'Pastas' 'Desserts' 'Healthy Food' 'Continental'],Chennai,West Mambalam,--,,09:09:07,6,4,19999,81
Impasta,1200,['Italian' 'Desserts'],Chennai,Nungambakkam,--,,20:36:36,8,0,7344,49
The Juice Shop @ Arab Street,150,['Juices' 'Desserts' 'Beverages'],Chennai,Kodambakkam,--,,20:07:01,1,5,11820,83
JACK N JILL FOODS,300,['Chinese' 'Indian' 'Biryani'],Chennai,Arumbakkam,--,,17:20:40,2,0,16763,62
firewood briyani,350,['Biryani' 'Indian' 'Chinese' 'Tandoor'],Chennai,Koyambedu,--,,14:06:12,10,2,16330,74
Hotel Prayag,300,['Indian'],Chennai,George Town,3.9,100,12:42:35,8,4,4022,37
PARVATHI RASOI,250,['Indian'],Chennai,Choolaimedu,4.1,20,12:57:01,6,3,18830,75
LASSI N SPICY,200,['Beverages' 'Juices' 'Ice Cream' 'Snacks' 'American' 'Arabian' 'Grill'],Chennai,George Town,3.8,50,12:11:43,8,2,15061,61
SANDWICH MASTER,250,['Indian' 'Snacks' 'Fast Food'],Chennai,mmda colony,--,,13:29:30,2,5,19479,68
Sugarcane Jks Shop,200,['Street Food' 'Indian' 'Beverages'],Chennai,T Nagar,--,,18:20:01,4,0,15282,88
Chai glass,200,['Desserts' 'Bakery' 'Beverages' 'Snacks' 'Pastas'],Chennai,Thousand Lights,3.9,100,22:41:31,10,5,25348,52
Vadilal Ice Creams,300,['Desserts'],Chennai,Kilpauk,--,,09:40:14,1,5,11297,46
HAMEEDIA VALIMA BIRYANI,300,['Biryani'],Chennai,Kilpauk,--,,09:29:03,5,0,10650,50
DELISIX,250,['North Indian' 'Fast Food' 'Chaat'],Chennai,Raja Annamalai Puram,3.9,50,12:00:38,3,4,27245,68
Al Dari Biryani,350,['Biryani' 'Indian'],Chennai,Choolaimedu,3.6,100,21:35:39,3,3,8091,79
The Cane Station,150,['Juices'],Chennai,Annanagar East,4.6,100,19:39:23,7,1,21152,53
Milda Naturals,250,['Ice Cream'],Chennai,Annanagar,--,,10:09:03,10,5,10960,52
ARADHANA,250,['Indian'],Chennai,Triplicane,--,,20:53:20,10,3,25812,48
FASTA PIZZA,200,['Pizzas' 'Beverages'],Chennai,Royapettah,--,,19:04:27,9,0,6341,58
Old Madras Baking company,300,['Bakery' 'Desserts'],Chennai,Thousand Lights,4.6,100,10:59:37,1,2,9748,37
Sandwich Hub By Anika Foods,200,['Pastas'],Chennai,Kilpauk,4.2,50,18:08:28,2,5,22344,52
Sarmani Veg Restaurant,300,['South Indian' 'North Indian' 'Chinese' 'Tandoor'],Chennai,Triplicane,4.4,100,17:03:32,9,1,23945,47
TN 03 cafe,300,['Pizzas' 'Continental' 'Desserts' 'Snacks' 'Beverages'],Chennai,Old Wasermenpet,--,,14:56:58,9,3,16798,63
BBQ Bro's,350,['Barbecue' 'Snacks' 'Beverages' 'Lebanese' 'Fast Food'],Chennai,Ashok Nagar,4,50,22:40:52,2,5,12270,88
Hotel Nava Rusi,250,['Indian' 'Chinese'],Chennai,Vadapalani,--,,19:12:13,4,2,16943,81
Antari By Soul Garden Bistro,300,['Bakery' 'Desserts' 'Ice Cream' 'Beverages'],Chennai,Shenoy Nagar,--,,12:09:21,10,0,6334,57
Hotel Pandia's - (CMBT),400,['Biryani' 'Chettinad' 'Chinese' 'South Indian'],Chennai,Arumbakkam,4.2,100,19:35:58,10,2,15996,72
NIFRA HOT AND SWEETS,150,['Snacks' 'Beverages'],Chennai,Royapettah,--,,22:31:23,8,4,25487,52
BURMESE KITCHEN,100,['Burmese'],Chennai,Arumbakkam,3.7,50,10:42:27,3,2,7629,67
GOBRGR@TRYST GOURMET,300,['Fast Food'],Chennai,Royapettah,--,,20:00:31,3,1,20726,56
SHAKES AND DESSERTS,200,['Ice Cream' 'Juices' 'North Indian' 'Salads'],Chennai,Kodambakkam,3.9,100,12:00:42,8,0,7758,50
SS MUSLIM BRIYANI,250,['Biryani' 'Chinese' 'South Indian'],Chennai,Perambur,3.9,100,20:12:46,2,4,7597,57
ID Sathyam,300,['South Indian' 'Andhra' 'Beverages' 'Desserts'],Chennai,Royapettah,--,,20:30:12,8,0,27410,54
Cheesy Juicy Burgers,450,['Fast Food' 'Continental'],Chennai,Anna Nagar,3.9,50,21:18:31,10,0,9780,60
Mini's cookhouse,300,['South Indian' 'Snacks' 'Fast Food'],Chennai,Raja Annamalai Puram,4.4,20,12:38:57,10,2,7632,77
HOTEL SHANMUGA,200,['South Indian'],Chennai,Old Washermanpet,--,,11:31:07,9,1,23483,59
PASTRY MANIAA,200,['Desserts' 'Pizzas' 'Pastas' 'Continental' 'Bakery'],Chennai,Kilpauk,4.7,100,11:34:04,8,0,25477,59
Grill Box,600,['Tandoor' 'North Indian' 'Chinese' 'South Indian'],Chennai,Mylapore,4.3,100,14:34:44,2,1,9096,58
Airborne Carnival,400,['Fast Food' 'Beverages'],Chennai,Thousand Lights,--,,12:05:23,5,3,14010,49
The Living Room,1200,['South Indian' 'North Indian' 'Tandoor' 'Mediterranean' 'Continental' 'Mongolian'],Chennai,Anna Nagar,4.5,50,15:18:30,9,1,17898,68
BLACK BIRD,300,['Fast Food' 'Pizzas' 'Beverages'],Chennai,Madhavaram - Manali ,--,,13:03:51,4,4,13454,69
Thanjai Veeraswamy ,250,['South Indian'],Chennai,T Nagar,3.9,50,16:45:02,8,5,5749,69
Bread and Chocolate,300,['Bakery' 'Desserts' 'Fast Food' 'Snacks'],Chennai,Alwarpet,4.6,100,14:20:41,10,0,11533,65
LE SHAWARMEZ,200,['Snacks' 'Beverages'],Chennai,Purasawalkam,--,,11:06:36,9,3,27374,45
KAAPI ZONE,200,['Snacks' 'Beverages' 'Chinese'],Chennai,Mandaveli,--,,11:55:59,6,5,23457,72
INOX,400,['Fast Food'],Chennai,Mylapore,--,,16:35:18,5,1,29850,61
Chinese Panda,450,['Chinese' 'Fast Food'],Chennai,Kilpauk,3.7,20,17:45:10,1,4,11711,55
Bon Appet-eat,200,['Snacks' 'American' 'Beverages' 'Desserts'],Chennai,Perambur,--,,18:41:34,8,2,15653,72
The Sandwich Shop,200,['Indian' 'Fast Food'],Chennai,Kodambakkam,4.1,20,13:22:17,9,4,28633,75
Habibi,900,['Arabian' 'Barbecue' 'Afghani' 'Combo' 'Greek' 'Grill'],Chennai,Anna Nagar,4.1,20,22:33:04,6,3,25766,72
Kovai Pazhamudir Nilayam,150,['Juices' 'Beverages'],Chennai,T. Nagar,4.5,100,17:20:12,7,4,12606,62
The Sandwich Club,150,['Fast Food' 'Chaat' 'Juices' 'Beverages'],Chennai,Annanagar,--,,17:54:28,7,4,9139,73
Sera - The Tapas Bar & Restaurant,1000,['Chinese' 'Continental' 'Spanish'],Chennai,Gopalapuram,4.1,20,10:41:53,6,4,3415,60
Juice Junction,150,['Juices' 'Beverages'],Chennai,Kilpauk,4.6,500,16:46:07,10,5,22047,54
GRT Cloud Kitchens - T Nagar,1200,['North Indian' 'South Indian' 'Chinese'],Chennai,T. Nagar,4.5,100,09:05:56,3,3,5949,74
BURMESE CAFE,280,['Indian' 'Chinese' 'Burmese'],Chennai,Nungambakkam,3.9,50,19:32:05,1,1,29099,49
LEMONE JUICE BAR,300,['Beverages'],Chennai,Kodungaiyur,3.8,50,11:26:49,6,2,26022,76
THE SHAWARMA JOINT,250,['North Indian'],Chennai,Anna Nagar West Extension,4.1,50,22:03:22,2,1,21562,85
Happy Cake stories,350,['Bakery'],Chennai,Anna Nagar,3.8,20,22:22:01,3,3,22553,76
Firangi Falooda,200,['Cafe' 'Beverages' 'Desserts' 'Fast Food' 'Juices'],Chennai,Anna Nagar,--,,19:56:39,1,2,26954,65
Master Oru Tea,80,['Indian'],Chennai,Perambur,3.8,100,13:53:22,3,5,21245,52
Makers Of Milkshakes,300,['Beverages' 'Desserts'],Chennai,Perambur,3.8,50,15:36:46,10,4,24540,59
Thirsty Inc.,250,['Beverages' 'Juices'],Chennai,Mylapore,--,,11:07:23,9,1,12238,71
Olive and Basil,500,['Chinese'],Chennai,Chennai,3.8,100,17:59:23,5,5,27840,37
Myfroyoland Frozen Yogurt,300,['Desserts' 'Ice Cream'],Chennai,Annanagar East,--,,20:17:43,1,2,26657,53
Nalan Restaurant,300,['North Indian' 'South Indian' 'Indian'],Chennai,Thirunagar Signal Vadapalani,3.6,20,11:45:45,2,2,23083,75
BIB -  English Breakfast in the Box,300,['Continental'],Chennai,Anna Nagar,4.4,100,15:16:04,4,2,28337,71
Food Finger,200,['Indian'],Chennai,Ayanavaram,4.2,20,14:16:04,7,1,9806,57
RICE JUNCTION / CHINTHAMANI FOODS CHENNAI PRIVATE,250,['Biryani' 'Indian'],Chennai,Kodambakkam,--,,17:16:53,5,5,8614,68
Juice Box Alwarpet,150,['Beverages' 'Juices' 'Fast Food' 'Chinese' 'Snacks'],Chennai,Alwarpet,--,,21:16:50,9,2,10034,64
THE GREENHOUSE BARBECUE,900,['Barbecue'],Chennai,Purasaiwakkam,4.2,20,21:16:52,8,1,7431,50
HOTEL HARISH,300,['North Indian' 'Tandoor' 'Chinese' 'South Indian'],Chennai,T Nagar,4,20,21:34:08,5,0,17442,72
Ricky's Cookies,300,['Cafe' 'Snacks'],Chennai,Alwarpet,4.9,20,14:00:48,7,0,7301,70
Green Mango Juice Shop,30,['Juices'],Chennai,Ayanavaram,4.2,20,17:05:27,8,1,15067,57
Kulfi Treat,200,['Ice Cream'],Chennai,Royapuram,--,,14:53:05,8,5,21376,58
Flameh Shawarma,220,['Arabian' 'Beverages'],Chennai,Royapettah,--,,15:22:03,7,1,29498,53
Omleterian,250,['Healthy Food' 'Snacks'],Chennai,Anna Nagar,4.3,50,16:59:26,9,4,13973,67
Lite Tiffin,300,['South Indian'],Chennai,Purasaiwakkam,4.1,20,10:20:37,10,0,28160,51
Malgudi - The Savera Hotel,2500,['North Indian' 'South Indian'],Chennai,Mylapore,4.1,50,10:50:45,1,4,13767,62
The New Punjab Club,300,['North Indian'],Chennai,Anna Nagar,4.6,20,15:58:02,5,4,21820,66
Mani Sri Saastha Kitchen,250,['Indian'],Chennai,Mylapore,--,,19:33:39,10,2,15732,70
RAMAS CAFE,250,['South Indian' 'Sweets'],Chennai,KILPAUK,4.6,20,12:31:26,1,3,4031,46
Mishra Pan Shop,300,['Paan'],Chennai,Anna Nagar,4.6,50,15:24:37,5,2,4901,64
Cookie Man,200,['Australian' 'Bakery' 'Snacks'],Chennai,Thousand Lights,--,,11:12:28,9,4,4277,52
Thoothukudi Poricha parotta,150,['Indian'],Chennai,Perambur,4.2,20,19:41:32,6,1,26370,68
Novelty Tea House,450,['North Indian' 'South Indian' 'Chinese'],Chennai,George Town,4.1,100,09:44:28,9,0,5303,39
PARATHA POINT,350,['North Indian'],Chennai,Kodambakkam,--,,13:43:06,4,3,15156,72
LASSI BLAST,200,['Beverages'],Chennai,Kodambakkam,--,,20:46:58,9,1,16038,72
LORD OF THE DRINKS,200,['Indian' 'Italian'],Chennai,Nungambakkam,--,,19:37:48,7,3,24617,56
Hotel Sangam - Mount Road,300,['Biryani' 'North Indian' 'Chinese'],Chennai,Triplicane,4.1,500,11:43:32,3,4,10647,36
JAI FOOD ZONE,110,['Chaat' 'Ice Cream' 'Snacks' 'Beverages'],Chennai,Arumbakkam,--,,18:21:21,8,3,3455,70
Juice'r rus,150,['Beverages' 'Juices' 'Desserts'],Chennai,Thousand Lights,4.1,50,11:09:16,9,0,19292,47
AMUL ICE CREAMS,300,['Ice Cream'],Chennai,Old Washermanpet,--,,12:03:44,10,4,22770,57
HOWDY CHENNAI,200,['Indian' 'Fast Food' 'Snacks' 'Beverages'],Chennai,George Town,3.7,20,22:52:59,6,2,5596,49
DIKSHAN FOOD CORNER,350,['South Indian' 'Chinese'],Chennai,Tondiarpet,--,,15:51:11,6,5,11277,77
Lucky Da Punjabi Dhabba,350,['Punjabi' 'North Indian' 'Thalis' 'Kebabs' 'Tandoor'],Chennai,Teynampet,4.2,100,22:32:58,7,0,23970,66
Momo,100,['Chinese'],Chennai,T. Nagar,4.1,50,09:44:40,2,3,6183,60
KITES PURE VEG RESTAURANT,280,['Indian'],Chennai,Kilpauk,--,,15:32:11,5,4,22855,51
Udipi Hotel Maha Ganapathy,250,['North Indian' 'South Indian'],Chennai,West Mambalam,4.4,100,11:48:37,3,5,24324,75
Riyas Biriyani,300,['Indian'],Chennai,Purasaiwakkam,3.9,20,17:54:57,2,4,22801,36
Ritz,650,['North Indian' 'Chinese'],Chennai,Purasaiwakkam,--,,17:43:40,6,2,16417,39
Radio Room,1200,['Indian'],Chennai,Raja Annamalai Puram,4.2,20,20:21:20,8,3,14328,83
HIGHWAY INN SMART,300,['Indian' 'Chinese' 'Snacks'],Chennai,Arumbakkam,--,,13:23:23,5,1,20864,73
3 V'S BISTRO,250,['Pizzas' 'Fast Food'],Chennai,Choolaimedu,--,,19:00:31,4,0,16532,76
Pizzeria By Ciclo,500,['Pizzas'],Chennai,Kotturpuram,4.1,50,14:54:42,9,1,16605,74
ORIENTAL MAJIK,200,['Indian'],Chennai,Vadapalani,--,,22:59:01,1,0,7549,85
BISTRO MYLAPORE,250,['Chinese' 'Mexican'],Chennai,Choolaimedu,--,,17:58:33,10,3,19837,75
The Noodle Theory,400,['Asian' 'Fast Food'],Chennai,Kilpauk,4,100,22:00:39,6,4,28520,55
K2 PAROTTA & BIRIYANI,400,['North Indian' 'Biryani' 'Chinese'],Chennai,Egmore,--,,19:13:00,5,4,6784,49
Reena Paul's Kitchen (Unit of RichnRich),300,['Indian'],Chennai,Anna Nagar,4.3,500,19:01:15,1,2,6841,67
Akshaya veg Restaurant,150,['Indian'],Chennai,Purasaiwakkam,3.9,100,21:42:00,3,0,24999,45
TRATTORIA BY TOSCANO,800,['Italian' 'Pizzas' 'Pastas' 'Continental' 'Salads' 'Desserts' 'Beverages' 'Combo'],Chennai,Thousand Lights,4.4,500,22:14:03,4,5,7244,51
King Queen Pizza,249,['Snacks'],Chennai,Purasawalkam,--,,11:52:11,10,2,28868,60
STAR TAJ HOTEL & FAST FOOD,400,['North Indian'],Chennai,Choolaimedu,--,,18:39:07,6,5,8313,61
Alibaba Shawarma and 40 Dishes,250,['Lebanese'],Chennai,Arumbakkam,3.7,20,10:56:06,8,2,25546,68
"MADRAS	SHAWARMA",150,['Snacks'],Chennai,Villivakkam,4.4,20,18:02:33,6,4,3911,63
A1 Chips West Mambalam(T Nagar),190,['Indian'],Chennai,Vadapalani,--,,17:30:35,6,0,24447,77
Coco Jaunt 1728,500,['Bakery' 'Cafe'],Chennai,Anna Nagar,4.3,50,10:48:53,6,3,6738,68
Leenas kitchen,250,['Bakery'],Chennai,Purasawalkam,--,,20:34:55,10,2,24501,50
IT'S WAFFLE TIME,300,['Cafe'],Chennai,Thousand Lights,--,,12:45:24,10,2,3362,51
CAFE EXPRESS,280,['Pastas' 'Chinese' 'Waffle'],Chennai,Annanagar,--,,22:04:38,4,0,20558,72
Roll'd Eats,300,['Fast Food'],Chennai,Egmore,--,,22:31:31,6,0,18172,46
THE VOID,1000,['South Indian' 'North Indian' 'Chinese' 'Continental' 'Tandoor'],Chennai,Annanagar East,4.3,20,20:05:52,2,1,29447,64
MITHRAN FAST FOOD,300,['Chinese' 'Biryani'],Chennai,Villivakkam,--,,13:45:48,6,5,8460,74
Shree Maa Inti Devi Chat,200,['Snacks' 'Street Food' 'Chaat'],Chennai,Purasaiwakkam,3.6,20,22:04:20,10,2,11811,40
THE RAMEEZ HOME KITCHEN,250,['Italian' 'Snacks'],Chennai,Perambur,2.7,20,15:18:31,7,2,10412,70
ARCOT BIRIYANI,150,['Indian'],Chennai,Perambur,--,,11:44:56,2,4,15665,71
Mary's Kitchen,200,['Chinese'],Chennai,Purasawalkam,--,,14:51:27,5,4,27898,58
Donut House,250,['Beverages' 'Desserts'],Chennai,Egmore,3.5,100,15:18:30,8,3,8290,39
Mambalam Annashree,250,['South Indian' 'North Indian' 'Chinese'],Chennai,T. Nagar,4.1,1000,21:38:14,6,5,29983,61
MADURAI PANDIYAN HOTEL,200,['Indian'],Chennai,Madhavaram - Manali,--,,16:28:33,2,2,23348,65
THE BREAK ROOM,300,['Beverages' 'Snacks' 'Fast Food' 'Chaat' 'Ice Cream'],Chennai,Nungambakkam,--,,16:12:11,9,1,10487,51
HOTEL CHAITHRA,100,['South Indian' 'Chinese'],Chennai,Mylapore,4.2,50,13:00:55,7,2,3614,53
Jamie's All Day Breakfast,250,['American' 'Fast Food' 'Beverages'],Chennai,Nungambakkam,4.4,50,12:22:13,3,0,20347,45
Schezwan Wok,300,['Chinese' 'Beverages'],Chennai,Gopalapuram,4,500,12:11:44,3,5,8035,58
Mandarin Oak- The Heavenly Chinese,350,['Chinese' 'Asian' 'Thai'],Chennai,Cit Nagar,4.1,20,12:19:17,3,1,22188,94
creamee n spicee,300,['Fast Food' 'Pizzas'],Chennai,Periyamet,--,,14:33:43,1,2,6766,37
"THE	PEPPER	FRY",150,['Fast Food'],Chennai,Egmore,--,,20:19:57,2,3,14717,39
ATTI SQUARE,300,['Indian'],Chennai,Teynampet,4.3,50,12:54:36,3,1,19248,56
VR CAFE,400,['Cafe' 'Bakery'],Chennai,Teynampet,--,,09:45:28,3,1,29870,71
Cafe Toastie Express,250,['Fast Food'],Chennai,Aminjikarai,4.2,20,22:29:36,8,2,11117,66
Pizza square (Mint 2),500,['American' 'Pizzas'],Chennai,George Town,--,,14:30:44,6,2,7539,50
Madurai Simmakkal Konar Kadai,400,['South Indian' 'Indian'],Chennai,Egmore,4.2,20,18:10:18,4,5,19166,36
Chennai Classic Cakes,250,['Bakery' 'Continental' 'Pizzas'],Chennai,Perambur,4.6,20,22:35:01,9,5,27647,58
Shawarma Kadai,180,['Arabian'],Chennai,T. Nagar,4.1,50,19:47:37,5,2,4596,62
EAME'S & SEMMY'S ANNAPOORNI KITCHEN,250,['Andhra' 'South Indian' 'North Indian' 'Biryani'],Chennai,Vadapalani,4.3,100,19:20:11,10,5,14967,86
BASMATI FOODS,300,['Biryani' 'Snacks' 'Beverages'],Chennai,Annanagar,--,,11:19:35,6,1,14006,72
Bayleaf OTG,300,['North Indian' 'Bengali' 'Biryani'],Chennai,Mylapore,4.5,50,12:14:50,9,3,8221,65
